labeling,sentence
2,그 친구는 항상 얻어먹기만 하고 한 번도 사는 법이 없어. 짜증 나.
0,나 오늘 기분이 무척 좋아.
5,은퇴한 나에게 꽃다발을 준 사람이 아무도 없었어.
3,박 씨 할머니가 우울증이 있어서 챙겨주러 갔는데 인기척이 없어. 무슨 일이 생긴 걸까 봐 불안해.
2,이제 어느 정도 직장에서 자리를 잡고 나니 방어적으로 업무를 하는 것 같아.
4,우리 가족 모두 건강하다고 자신했는데 얼마 전 아들이 당뇨병 진단을 받아서 괴로워.
0,성적이 너무 잘 나와서 선생님이 어느 대학이든 고르라고 하셨어. 그래서 기분이 좋아.
2,친구가 숙제를 안 해놓고 친한 척 보여 달라고 들러붙는데 구역질이 난다.
1,젊은이들은 나이 든 사람과 대화를 싫어하지.
1,우리 가족들은 왜 항상 나에게 관심이 없는 걸까?
5,나는 내가 진짜 잘했다고 자신했는데 팀장님은 나를 인정해주지 않으셔서 슬퍼.
0,당뇨 합병증으로 한쪽 손은 잃었지만 아내와 함께 행복하게 살아가고 있어 감사한 마음이야.
2,나는 너무 귀찮은데 언니 때문에 맨날 방 청소하는 거 너무 싫어.
0,젊었을 때엔 시간에 쫓기듯 바쁘게 살아왔지만 나이가 들어서 그런지 이제 조급하지 않아.
5,정작 내가 필요할 때 연락하면 다들 받질 않아.
1,매일 옷 어떻게 입고 가야 할지 걱정이야.
5,자식들 다 키워놓고 여유 좀 즐기며 살고 싶었는데 통장 잔고를 보니 지금까지 뭐 하고 살았나 싶다.
2,건강검진 결과가 아직 안 나왔어. 빨리 알려 주면 좋은데. 사람을 안달 나게 해.
3,어제 저녁에 가족들이 혹시 학교에서 따돌림당하고 있냐고 물어봐서 정말 당혹스러웠어.
2,건강이 더 안 좋아지면 어떡하지?
3,어젠 술을 먹는 와중에 수전증 때문에 잔을 떨어트렸어. 치매가 온 게 아닐까 불안해.
3,나는 나름대로 일 처리는 잘하는데 유독 기기 다루는 건 어렵네.
1,형은 틈만 나면 자기가 만났던 여자들을 평가하곤 하는데 그런 이야기 들을 때마다 너무 싫어.
2,고혈압인데 채소와 과일은 먹지 않고 고기만 먹는다고 아내에게 쓴소리를 들었네.
0,자식들이 하고 싶은 공부가 있다고 해서 내가 열심히 도와줄 거라고 말했어. 아주 뿌듯해.
3,아내 병원비 때문에 대출을 받아버렸어. 과연 언제쯤 갚을 수 있을까.
5,갱년기 우울증으로 죽고 싶다고 생각을 한 지 오래 되었어.
4,오늘 갑자기 계약 해지 통보를 받았어. 열심히 일했는데 계약이 끝나기도 전에 나가라니 당황스럽고 허탈하네.
2,할머니가 되니 오줌을 참기 어려워서 짜증 나.
2,남자친구가 연락을 너무 안 해. 매번 이러니까 너무 화나.
4,어제 팀에서 그 어떤 배경 설명도 없이 나에게 다른 지역으로의 파견을 통보했어. 왜 내가 파견을 하러 가야 하는지 잘 모르겠어! 팀에서 희생당한 느낌이야.
4,그 애가 다른 남자 앞에서는 미소짓더라. 슬프네.
4,아내가 아들한테 몰래 내 욕을 하는 걸 들어버렸어. 충격이기도 하고 마음이 아프네.
4,남편이 나를 간병할 때 나보다 옆자리 환자 보호자와 이야기를 더 많이 해서 조금 짜증이 나네.
1,환갑 넘어서 질환이 걸리니 뭔가 고립된 기분이야.
4,만성질환이 있는 나 대신 건강한 동생에게 엄마의 부양을 부탁했는데 동생이 싫다고 했어.
1,내 비밀이 알려졌어. 친구들이 나를 어떻게 생각할지 무서워.
2,내가 이렇게 입원해있어도 아들이 찾아오지도 않아.
2,나는 오십 살부터 캐나다에 가서 새롭게 노후 준비를 할 생각이라 이것저것 준비할 게 너무나도 요즘에 많아.
1,우리 가게는 나 말고 직원도 없는데 친구들에게는 가맹점을 낼까 생각 중이라고 말해버렸어.
3,열심히 살기만 했지 내 건강에는 신경을 많이 못 쓴 것 같아서 불안해.
5,나 아무래도 학교에서 은근히 따돌림을 당하고 있는 것 같아.
5,박 과장을 이번에 승진 명단에 제출했는데 제외되었네. 될 줄 알았는데 실망스럽군.
3,아이가 방에 나오지를 않아 걱정이야.
3,회식 때 노래방에서 내가 노래를 부르려는데 신입사원이 취소를 눌렀어. 기분이 정말 나쁘네.
0,월급 보너스가 들어왔어.
0,일하는 것도 익숙해져서 그런가? 스트레스가 없어.
2,내 꿈을 무시하고 전혀 불가능하다고 말하는 친구가 너무 싫은데 화도 못 내고 답답했어.
0,내가 원하던 곳에 취직됐어.
5,친구들보다 내가 십 년은 더 늙어 보인다고 생각이 들어.
0,다시 취업해서 안정적인 수입이 생긴 것이 기뻐.
3,요즘 친구들이 나를 따돌리는 것 같아서 너무 불안해.
5,법률이 매년 바뀌어 따라가기도 힘들고 회사도 나를 내칠 것 같아 슬퍼.
1,융통성이 없는 선생님들 수업을 계속 들어야 하는 것은 너무 혐오스러워.
0,나는 노인정 친구들을 정말 믿어.
0,당뇨 때문에 식단 관리랑 운동을 하니까 몸이 좋아진 거 같아.
2,우리 아들이 서른이 넘었는데 아직도 용돈을 달라고 요구해서 한심해.
5,아내가 교통사고로 사망했다는 소식을 들었어.
2,학교 폭력을 당해서 친구에게 툴툴대서 미안해.
3,집 밖에 있는 것이 더 편한 날이 오다니.
5,결혼을 너무 빨리 했나 봐 후회가 되네.
2,그동안 거액을 투자한 기업이 부도가 났어. 앞으로 어떻게 해야 할지 모르겠어.
4,남편이 암 투병으로 힘들어하는 것을 옆에서 지켜볼 때마다 마음이 아프고 나도 힘들어.
0,이번 프로젝트팀원들은 서로 존중해서 일을 함께하면서 문제 생길 일이 없을 것 같아서 편해.
5,이십 년을 넘게 일했는데 이제 퇴직해야 하다니 좀 슬프다.
0,사람들과 함께 지내는 게 참 좋다.
3,일이 너무 많아서 너무 힘들어.
0,자식들이 태어난 게 진짜 엊그제 같은데 벌써 잘 커서 가정을 꾸리고 있어.
4,아빠가 예전에 내가 태어났을 때 딸이어서 실망했다고 했어.
0,병원 다녀오느라 친구약속 시간에 늦을 것 같아.
4,나는 왜 이렇게 사람들에게 실수를 많이 하는 걸까? 괴롭다 괴로워.
4,배가 고픈 상태로 집에 왔는데 나 빼고 식사를 하고 있어서 서운했어.
3,회사에서 월급날보다 늦게 돈을 주고 있어.
1,애들이 모두 해외 여행을 다녀왔다는 거야? 너무 당황해서 나도 다녀온 적 있는 것처럼 말했어.
0,가족에게 내 고민을 털어놓으니까 이제 마음이 좀 편해졌어.
2,교과서를 두고 와서 수업도 못 듣고 혼자 복도에서 있어서 기분이 좋지 않네.
3,남편이 갑자기 회사를 그만두고 친구와 사업을 하고 싶대. 요즘 경제도 좋지 않아 말렸는데 불안해.
3,아내가 곧 출산을 앞두고 있어서 너무 초조하네.
5,연금관리를 자식에게 맡겼는데 상의도 없이 몰래 돈을 쓰고 있어서 실망이야.
2,학교 폭력 현장을 목격해서 신고하고 진술하게 되었는데 너무 무서워서 아무 말도 못 했어.
3,룸메이트가 아무런 말도 없이 갑자기 방을 빼겠다고 해서 혼란한 마음이 드네.
2,다른 애들에 비해 체격이 좋다고 친구를 괴롭히는 거 보면 정말 화가나.
2,과장님이 나만 차별하시는 것 같아서 기분이 나빠.
2,친구들한테 따돌림당하지 않고 잘 지내고 싶은데 이것도 혹시 내 욕심일까? 진짜 어이가 없고 화가 나.
1,내가 친구를 괴롭혔더니 친구가 자살을 했어.
0,오늘 유난히 시간이 너무 빨리 흐른 것 같아.
0,나는 항상 우리 팀원들과 최고의 성과를 낼 것이라고 믿어.
5,당뇨 진단을 받았어. 평소에 짜고 달게 먹었던 게 문제였나 봐.
5,학교폭력 때문에 전학 왔는데 트라우마 때문에 아무것도 할 수 없어 우울해.
1,남자 친구가 카톡으로 갑자기 그만 헤어지쟤. 너무 슬퍼.
3,코로나 때문에 벌써 두 번이나 결혼식을 연기했어. 이번엔 가능한 건지도 모르겠고 결혼식을 꼭 해야 하는 게 맞는 건지 너무 혼란스러워.
1,오늘 병원에 갔더니 내 신체나이가 칠십 대라는군. 몸에 안 좋은 행동만 골라 했더니 자업자득인 건지.
0,아이가 뛰어놀다가 넘어져서 깜짝 놀랐었어.
4,난 계속 놀고 싶은데 학원을 가야 하는 게 괴로워.
4,같은 병실에 있던 사람들이 벌써 두 명이나 죽었어. 너무 괴로워.
2,예순이 넘어도 돈 때문에 짜증 나는 건 여전하네.
1,동생도 나랑 같이 고등학생인데 동생하고 싸워서 엄마가 많이 속상해했어.
0,오늘 경찰서에서 연락을 받았는데 도둑을 잡았다더군.
5,아등바등 살아 봐도 사는 것이 나아지지 않아. 환멸을 느껴.
1,왜 내가 승진하지 않을까?
1,내 무릎이 언제 탈이 날지 몰라 사람들과 약속 잡기가 힘이 드네.
4,며느리는 내게 동네라도 한 바퀴 돌면서 운동하라는데 무릎이 말을 들어야지. 수술한 이후로 예전 같지가 않아.
5,나를 노예취급 하는 회사에서 진작 퇴사할걸 그랬어.
1,남편이 너무 나이 들어 보여서 같이 다니기가 좀 꺼려져.
5,돈 때문에 사람들과 관계가 깨지기도 해서 슬퍼.
2,돈이 바닥나서 구역질이 날 정도야. 내 나이 예순 살인데 사는 게 팍팍해.
4,언니가 엄마 치료비 내기 싫다고 연락을 끊어 버렸어.
2,내일 당장 끼니부터 걱정해야 하니 어찌해야 할까?
2,내가 은퇴했는데도 가족들 중 일하는 사람이 없어. 노후가 걱정되고 화가 나.
4,내 동생이 비행 청소년이라고 신고가 들어왔어.
4,믿기지 않아. 내가 그 회사에 들어가려고 노력했는데 취직한 지 얼마 안 돼서 부도가 나다니.
5,엄마한테 다신 안 본다고 소리치고 나왔다.
1,면접에서 떨어졌는데 면접관이 나를 어떻게 봤을지 너무 궁금해.
5,취업 준비를 삼 년이나 했거든? 근데 아직도 취업을 하지 못해 슬퍼.
5,여자 친구가 내가 준 커플링을 잃어버렸대. 너무 속상해.
1,골다공증이 있는 친구 어깨를 밀쳤는데 친구가 넘어져 다리가 부러졌어. 죄지은 느낌이야.
0,오늘 병원 의사를 만나서 건강상담을 했는데 건강 유지하려면 꾸준히 운동만 하면 된다니 기분이 좋아.
3,우리 애들 때문에 스트레스를 받네.
3,지금까지 담배를 계속 피운 것 때문인지 폐가 망가진 느낌이 들긴 한다.
0,마음을 졸이고 있었는데 원하던 고등학교에 합격했어.
5,연애를 못 해서 너무 비통해.
0,성적이 생각보다 잘 나오지 않아서 힘들었는데 이제 마음을 추슬러서 편안해졌어.
2,아들은 내가 늙어서 힘이 없다며 나를 무시했어. 그래서 분노가 치밀어.
0,만성 디스크 때문에 운동을 시작한 지 한 달이 지나가는데 효과가 굉장해.
5,일자리를 구해서 기뻐하는 기분을 느끼기도 전에 벌써 그만두라고 해서 슬퍼.
2,내 친구가 따돌림을 당하고 있는데 이 사실을 선생님께 말하고 싶어.
3,우리 집은 한 번도 안정적인 형편이었던 적이 없는 것 같아서 불안해.
4,그 집 여자는 왜 돈이 필요할 때만 나를 찾는지 모르겠어. 이용만 당하는 기분은 질색이야.
3,재정에 회의감이 들어.
2,내가 인사를 제대로 안 했다면서 애들이 날 때렸어.
3,엄마가 시험성적 때문에 집에 오면 혼날 준비 하라는데 떨리네.
0,쉬는 시간마다 내가 괴롭힘 당하지 않도록 선생님이 반으로 와서 감시해주셔. 너무 안심돼.
2,난 당구에 관심도 없는데 남자 친구가 자꾸 같이 하자고 해서 짜증 나.
5,아빠가 회사에서 정리해고를 당하셨어. 나도 혼란스럽고 슬퍼.
1,부모님이 시험을 위해 열심히 지원해주셨는데 성적이 기대에 못 미쳐서 죄송스러워.
2,근소한 차이로 면접에서 떨어졌어.
0,같이 일했던 상사가 옆집으로 이사를 왔다는데 너무 반갑더라고.
5,내가 이렇게 지금 힘든지 걔네들은 모르겠지?
2,딸 결혼 준비에 도움을 주고 싶은데 경제적인 도움이 못 되어서 걱정이야.
3,나 과제 발표를 제대로 못 했어. 준비했던 것들이 갑자기 생각이 나지 않지 뭐니.
3,가게 매출이 점점 떨어져서 고민이야.
4,요즘 많이 속상해.
4,아이들이 나보고 아줌마라고 했어. 정말 상처받았어.
5,지금 하고 있는 일이 나한테 안 맞는 것 같아서 너무 너무 힘들어.
0,노후를 위해 열심히 저축하고 투자한 덕분에 지금 여유롭게 사는 것 같아 만족스럽고 기뻐.
5,공부를 매일 안 한 것을 후회해.
4,엄마랑 성적 때문에 싸웠어.
0,나에게는 이루고 싶은 꿈이 있어.
0,이번에 내 계획대로 프로젝트가 진행될 거야.
0,오늘 친구가 그동안 나한테 서운한 점에 관해서 이야기해줬어.
1,나는 죽고 싶지 않아서 안절부절 못하는데 나와 다르게 마음의 여유가 있고 밝은 친구가 부러워.
5,건강 생각에 환멸이 나.
3,건강을 잃을까 두려워.
5,작년에 왔던 이직 제안을 거절한 게 후회돼.
1,내 친구가 내 말을 거의 무시해. 나한테 화가 난 거 같아.
0,팀장님이 업무 처리 기간을 여유롭게 잡아놓은 덕분에 실수 없이 잘 진행되어서 너무 좋아.
3,내가 틀니를 하니까 사람들이랑 회식도 못 하고 힘들어.
1,예절교육 때문에 방학 때 성당 캠프에 와있는데 가족이 너무 그리워. 혼자 떨어져서 있으니까 외롭다.
5,아이들의 성공을 위해 모아둔 돈을 유학 자금으로 모두 사용했어. 이제 나는 어떻게 해야 할까?
3,이제 곧 수시 발표야. 너무 긴장돼.
2,같이 사는 친구가 툭하면 내 물건을 마음대로 건드려서 짜증 나.
3,이번 대학 입시에 떨어질까 봐 불안해.
3,남편이 귀가 어두워서 항상 불안하고 걱정이야. 내가 항상 곁에 있어 줘야 할 것 같아.
0,요즘 주식으로 재미 좀 보고 있어.
4,내가 원래 보던 업무와 전혀 다른 업무를 맡게 되었는데 부하 직원이 은근히 나를 무시하는 거 같아.
2,너무 아파서 쉬고 왔는데 영어 선생님이 내가 공부를 안 해왔다고 다그쳐 화가 나.
0,부모님께서 물려주신 작은 땅을 팔아서 드디어 은행 대출을 다 갚았어. 너무 기뻐.
5,반도체회사에 평생을 바치다가 얻은 혈액암인데 회사가 나 몰라라 하네. 진짜 죽고 싶다.
0,나를 괴롭히던 친구가 전학을 갔어.
0,생일인데 아내가 깜짝 선물을 줘서 너무 고맙더라고.
1,업무시간에 딴청이나 피우고 정말 옆에 있는 사람 혐오스럽군.
5,평소에 온화하다고 생각했던 팀장님이 술에 취하니 엉망이더라. 끔찍했어.
4,대학 선배와 날밤을 새워가며 열심히 준비한 공모전이 취소됐어. 너무 억울해.
1,많이 외롭더라.
3,어제 학부모 간담회 갔는데 딸이 모른 척하더라. 그래서 이게 뭔가 싶어.
1,내가 다리가 안 좋아서 절뚝거리면서 걷는데 밖에 나가서 걷기가 창피하네.
5,지난밤에 컴퓨터 게임을 줄이고 오늘 영어 시험공부를 조금만 더 할 걸 그랬어.
3,내 직급이 낮아서 그런지 회의 시간에 내 의견을 무시하는 경향이 있어서 의견을 제시하는 것이 힘들어.
0,내 가게가 티브이에 나와서 손님들이 북새통을 이루고 있어서 너무 기뻐.
2,자식들은 명품을 휘감고 다니고 나는 요양원에 보내주지를 않아.
4,퇴원하고 집에 왔는데도 아무도 나에게 관심을 주지 않아서 속상해.
3,선생님께서 내가 학교 폭력의 주범인 것을 아셔서 불안해.
4,아르바이트를 쓸 여력이 부족해서 주말마다 부모님 가게 일을 도와야 해. 너무 힘들다.
0,어제 못 받은 나머지 수당 겨우 받았네.
1,나 오늘 성적표를 받았어.
5,친한 친구들이 날 따돌려서 너무 슬퍼.
1,나는 잘 모르는 사람인데 갑자기 아는 척을 해서 당황스러웠어. 도저히 누군지 기억이 나지 않아.
3,잠이 들고 나면 내일이 될 줄 알았는데 고작 오 분이 지나면 깨. 너무 힘들어.
3,공부 모임 중에 나만 이번 공채 일정에 나만 합격을 했어.
2,왜 사람들이 나에게 은퇴하면 뭐 할건지 자꾸 물어보는지 모르겠어.
5,속상하고 마음이 아파.
3,은퇴하고 여자친구를 소개받았는데 조심스러워.
1,자식들이 해달라는 대로 해외에 유학을 보내줬는데 빚만 잔뜩 생겨서 당황스럽다.
4,아내가 죽고 자식들과도 연락이 끊겨서 내가 죽을 때는 아무도 곁에 없을까 봐 너무 무서워.
3,집에 내가 없을 때 동생이 내 물건에 함부로 손댈 거 같아서 신경 쓰여.
5,이번 시험을 망쳤는데 아빠가 성적을 보시고 나 같은 건 꼴도 보기 싫다고 얘기했어.
3,치매에 걸린 친구에게 잊혀질까 봐 걱정이야.
3,자식들이 내게 상조 보험이 미리 가입을 해두는 게 어떻겠냐고 권유해서 당황스럽고 한편으로는 씁쓸해.
1,엄마가 갑자기 방문을 열고 서랍에 숨겨놓은 성적표를 가지고 갔어. 너무 당황스러워.
3,내일 건강검진이라 걱정되고 불안해서 잠이 안 와.
4,간호사가 가족이 있을 때만 잘 간호해주는 것 같아.
4,친구 중에 말을 너무 까탈스럽게 하는 애가 있어서 대화하기가 싫어.
2,내가 평소 안 좋아하는 애가 있는데 오늘 걔 책상에 몰래 낙서했어.
1,돈 번다고 내 몸을 너무 혹사했어. 건강 잃으면 돈은 아무것도 아닌데 말이야.
0,이제 나도 나이가 들어서 그런지 여기저기 몸이 많이 고장 났어.
1,오늘이 내 생일인데 아무도 연락이 오지 않아서 너무 당황스러워.
5,일도 못 하는 사장 아들이 나보다 월급을 많이 받는다는 사실을 알았어. 진짜 환멸이 나네.
5,내 소중한 친구가 세상을 떠났다는 소식을 들었어.
3,가는 곳마다 금연구역이라서 흡연자들이 담배 필 곳이 없어 스트레스받아.
5,갑자기 결핵 판정을 받아 당분간 가족은 물론이고 아무도 만나기 어려울 것 같아서 너무 서럽고 속상해.
3,오전에 아내가 임신했다는 연락을 받았는데 준비되지 않은 상황이라 조금은 혼란스러워.
2,회사에서 나만 일을 제일 많이 하는 거 같아.
2,괜찮다가 갑자기 가슴 통증이 심하고 압박감이 있는 거 보니 곧 심근경색이 올 것 같아.
4,학교 폭력으로 자퇴를 했지만 트라우마가 생겨 집밖으로도 못 나가겠어.
5,친구에게 돈을 빌려줬는데 갚지는 않고 본인 노는 데만 돈을 써서 너무 화가 나.
5,내 주변 사람들은 아무도 나를 신경 쓰지 않는 것 같아 슬퍼.
1,친구한테 죄책감이 생겼어.
1,직장에서 실수를 했는데 팀원들이 이거 가지고 욕할 것 같아.
4,직무 선택을 잘못한 것 같아. 나랑 너무 안 맞아.
5,아내가 직장을 다시 다니겠다고 했지만 아직 이력서도 적지 않아.
5,같은 병동 환우가 죽기 싫다고 울더라. 뭐가 그렇게 두려운지.
5,운동한다고 손자가 자전거를 타다 넘어져서 다리가 부러졌어. 내 잘못인 것 같아 미안해.
0,이번에 이직한 회사는 수평적인 조직이라서 마음에 들어. 나이나 직급에 상관없이 자유로운 의사소통이 보장되고 서로 의견에 경청해서 정말 좋은 것 같아.
4,아들이 말도 안 하고 큰 개를 집으로 데려왔어.
4,오늘 친한 친구가 뒤에서 내 욕을 한 걸 전해 들어서 마음이 너무 아프다.
1,이번에 찍은 위내시경 사진인데 너무 징그러워.
2,내가 주말에 얼마나 공부를 했는지 물어보는 친구에게 궁금해하지 말라고 기분 나쁘게 말해줬어.
3,남편이 잘 다니던 회사를 갑자기 그만두고 농사 짓고 싶다고 말했어.
0,정부에서 요양보험 지원금이 나온다니 정말 다행이야.
4,내 손으로 돈을 써보지도 못하고 부동산 사기를 당하다니 너무 억울해.
4,병원에서 난 치매가 아니라는데 자녀들은 나를 입원시키려고만 해서 억울해.
0,엠티로 우리 부서의 친목을 도모할 수 있을 거라 믿어.
4,자식이 있다는 이유로 정부에서 지원금이 안 나오는 거 있지.
5,한 달에 한 번은 모임을 나갔는데 이제는 그럴 기력이 없는 내 건강에 실망이야.
0,내가 새로운 프로젝트를 주도하게 되었다니 믿을 수가 없어.
1,아주 잘 알던 거래처인데 나중에 보니 하자가 있어 클레임이 걸렸지 뭐야.
0,중년의 다른 아줌마들에 비하면 정말 나는 건강한 편이라는 걸 알게 돼서 편안하네.
4,자식이 나를 두고 먼저 세상을 떠났어.
3,요즘 코로나 때문에 영업처 사정이 어려워져서 나도 덩달아 너무 힘들어.
1,내가 친구를 괴롭혀서 우시는 부모님을 보고 친구에게 사과했어. 마음이 아프고 괴로워.
4,나는 늙어서 힘이 없는데 친구는 아직도 자주 등산을 해.
4,아내가 아이가 병원에 다니고 있다는 걸 숨기고 있었어. 그걸 알지 못한 게 너무 미안해.
3,나는 하고 싶은 꿈이 있어. 그런데 그 꿈을 시작도 하지 못하게 될까 봐 너무 걱정돼.
1,내 실수 때문에 친구가 나한테 화가 많이 나서 날 때리기까지 했어. 속상하고 무서워.
0,내가 괴롭힘 당하지 않게 같이 가주겠다는 친구가 생겨서 너무 기뻐.
0,요번 계약을 성공적으로 성사시키면서 회사 사람들로부터 능력을 인정받았어. 너무 기뻐.
0,다이어트를 해서 건강을 되찾았어. 그래서 너무 좋아.
4,나는 연기자를 하고 싶은데 부모님은 불안정하다고 응원해주시지를 않아.
4,내가 암에 걸린 후 재발을 몇 번 겪고 나니 부유했던 내가 빈곤층이 됐어. 아주 순식간에 말이야.
5,날 도와주는 친구가 한 명도 없어. 모두 나를 모른 척해.
5,갓난아이가 계속 우는데 이유를 모르겠네.
4,오늘 당한 따돌림을 생각하니까 감정에 북받쳐서 눈물이 나왔어.
4,공부만 하니까 너무 지쳐. 가만히 앉아 있는 것도 지치고.
3,대장내시경 검사 결과를 기다리는 중인데 결과가 안 좋을까 봐 너무 불안해.
1,두 달 동안 준비해서 프러포즈를 했는데 거절당했어. 그래서 부끄러워.
3,상사는 항상 내가 실수하기를 기다리는 것 같아 불안해.
0,지인들과의 모임은 재밌어. 앞으로도 계속될 거 같아.
5,여윳돈이 생겨서 은행에 이자라도 받을까 하고 갔다가 실망하고 왔네.
0,드디어 은퇴가 다가왔어.
2,가족이 나를 돈 버는 기계로만 생각하는 거에 화가 나서 은퇴했다는 사실을 숨기고 혼자 놀러 다녔어.
0,동생이 며칠 동안 수련회를 가게 되어서 좋아.
0,내 아내는 비가 올 때마다 우산을 들고 날 마중 나와.
1,큰형님네가 친척들 다 같이 제주도 간다고 하던데 우리 집은 못 가.
5,시험문제에 내가 공부한 게 하나도 안 나와서 성적이 안 좋을 거 같아.
5,나 때문에 우리 회사가 언론에서 큰 비난을 받고 있어. 어떻게 해야 하지.
5,시장에서 돌아오는 길에 함께 걷고 싶은데 늘 먼저 앞에서 걷는 남편이 서운하고 실망스러워.
1,내가 걔보다 못한 게 뭔데. 왜 다들 나만 싫어하지?
3,건강하게 살고 싶다고 생각만 했지 지금 보니 막상 건강을 위해 한 것은 없어서 불안해.
4,이제 막내딸이 사춘기 히스테리를 부리더라.
4,회사 일로 과로로 쓰러졌는데 회사에서는 나보고 치료비를 내라고 해. 상처를 받았어.
2,열심히 공부해도 상위권에 있는 애들을 따라잡기 힘들어 좌절감이 들어.
0,이십 대부터 지금까지 꾸준히 운동을 해온 덕에 근육량은 오십 대의 사람들보다 높을 거야.
1,난 참 한심해. 이제 곧 은퇴인데 은퇴 후 준비를 하나도 안 해놨어.
4,전 남편과 낳은 아들이 찾아왔지만 만나지 않고 돌려보냈어. 마음이 답답해.
1,내 친구가 당뇨인데도 식이요법도 안 하고 과자를 먹더라.
4,나는 오십 년째 우리 가족에서 가정부 같은 존재야. 날 그렇게만 생각한 가족들한테 상처받았어.
1,팀장님이 나한테 부탁하신 서류를 잃어버렸어. 오늘 회의 자료라고 하셨는데 진짜 너무 당황스럽다.
1,건강이 안 좋으면서도 안 좋은 습관들 바꿀 생각을 하지 않고 병원만 찾는 모습이 한심해 보여.
1,회사에 같이 들어온 동기들이 거의 다 은퇴를 하고 이제 거의 혼자야.
5,남편이 건강검진을 받았는데 이상이 있는 것 같아.
4,내가 병원에 입원해 있는 동안 친구가 투자금을 가지고 도망갔어.
1,오늘 친구와 말싸움 하다가 그만 친구를 때렸어. 내가 왜 그랬는지 당황스러워.
3,내 재정에 혼란스러워.
4,주위 친구들은 모두 연금을 들었던데. 난 연금 들어 놓은 것도 없고. 걱정이야.
1,요즘 좀 당황스럽네.
5,건강 챙기려고 운동을 시작한 다음에 살이 좀 빠지는 줄 알았는데 몸무게 재보니까 별로 안 빠져 있어서 실망스러웠어.
3,선생님께서 날 가해자로부터 보호해 주시기로 하셨어.
0,우리 직원들이 나를 존경하는 경영인으로 불러 줘서 너무 기뻐.
3,오늘 아빠가 모르는 여자랑 말을 하고 있었어.
3,건강도 그렇지만 정신도 조금 이상해진 것 같아.
3,애들이 어째 자꾸 나만 괴롭히는 것 같다.
1,친구들이 나만 빼놓고 민지 생일파티를 해서 속상해.
0,선생님을 믿어.
0,아직까지도 나를 아껴주는 남편에게 너무 감사해.
3,이제 곧 있으면 수술 날인데 그때까지 수술비를 마련할 수 있을지 모르겠네.
5,학폭위를 통해 정학 조처가 내려졌는데 너무 큰 충격을 받았어.
1,요즘 남의 시선을 자꾸 의식하게 돼. 육십 대인데도 집 한 채가 없어서.
3,이번 프로젝트에서 발표를 하는데 내가 실수하는 바람에 우리 팀이 감점을 받았어. 너무 미안해.
2,상견례를 하는데 남자 친구가 행동을 잘못해서 아빠한테 별로라는 얘기를 들어서 기분이 안 좋아.
5,내가 좋은 사람이라고 결혼을 잘한 거 같다는 아내의 말에 눈물이 났어. 고생만 시킨 거 같아 눈물이 나.
2,엄마가 내 의견은 무시하고 계속 돈 잘 버는 전공을 하라셔. 너무 짜증 나.
0,룸메이트와 생활하고 있는데 서로 일 분담이 잘 돼서 기분이 좋아.
4,사람들과 어울리기 좋아했던 내가 이제는 찾아주는 사람이 없다는 게 너무 슬퍼.
1,남편은 나 없이는 할 수 있는 게 없어서 한심해.
4,회사에서 나 없이 다 같이 점심을 먹으러 간 일이 있었어. 나만 빼고 가다니 너무 섭섭한 마음이 든다.
2,위염에 좋은 것만 먹는데도 왜 낫질 않지? 어떻게 해야 할지 화가 나.
3,내 대학 등록금을 마련한다고 엄마는 아침도 없이 일하시는 게 마음에 걸려.
2,사장님이 커피를 타오라고 할 때 화가 나서 미치겠어.
3,건강에 대해 혼란스러워.
3,남편에게 남성 갱년기가 온 것 같아서 조심스러워
0,나는 이 기업에서 꾸준히 일해서 정년퇴임을 할 수 있어.
1,내 옆에 반려묘 하나만 있으면 좋을 것 같아. 외로워.
3,남편이 요즘 자꾸만 돈을 헤프게 펑펑 쓰는 것 같아서 걱정이 돼.
3,내 의견 없이 운동을 매일 하라는 의사 말을 따르는 게 맞는 걸까?
0,재정 상태를 신뢰해.
3,집안에 암 가족력이 있어서 아들이 나중에 아플까 봐 너무 걱정돼.
5,지금 정말 화가 나. 나이 든 사람이 하는 사업체라고 내 사업에 투자를 하지 않겠대.
2,남자친구가 덥다고 계속 인상을 써서 짜증이 나.
3,요새 남편이랑 사이가 안 좋아져서 불안해.
1,남편이 도박으로 돈을 다 날리고도 또 도박을 하고 왔네.
0,이제 나이도 나이인 만큼 은퇴를 해 볼까 해.
5,내가 하는 노후준비는 죽을 때까지 끝이 나지 않을 것 같아 슬프네.
3,고향에 내려갈까 하는데 막상 다 정리하고 가려니 생각이 많아져.
0,오늘 친구들한테 맞아서 너무 속상해서 형한테 말했더니 형이 혼내주러 갔다 왔어.
0,시간에 쫓기지 않도록 미리미리 결혼 준비를 해놔서 마음이 엄청 편해.
4,직원 실적이 부족하다 보니까 팀 전체 실적까지 부족해졌어.
1,항암치료를 하고 있는데 머리숱이 확 줄었어. 남들이 대머리로 볼 것 같아.
0,오늘 날 괴롭히던 친구가 선생님께 된통 혼이 났어.
2,대학 합격 발표가 아직 안 나서 너무 안달이나.
1,친구가 내 비밀을 말해버리는 바람에 순간 그 자리를 도망쳤어.
4,자식들은 무슨 죄래. 원망스럽고 마음이 아프다.
1,전원주택 산 친구가 부러워서 더 큰 집 샀는데 다시 팔 생각이야.
1,회사에서 매일 야근하다 보니 아침에 피곤해서 수험생 딸 아침을 못 챙겨주네.
